# t dt_minus dt_plus flux dflux_minus dflux_plus ind dind_minus dind_plus NH dNH_minus dNH_plus observ
55530.6868479177 0.17093163743235723 0.17093163743235723 -10.53089083 0.04435330999999998 0.04445069000000146 1.340578171 0.18679611299999999 0.195323535 0.764987941 0.18452737210000003 0.21311857310000004 00030966013_API_2010.gz
55581.16965444668 0.14021237002375225 0.14021237002375225 -10.54575979 0.0376893900000006 0.0377168999999995 1.300065519 0.1484275639999999 0.15371149600000011 0.534029 0.12115723609999995 0.13721740000000004 00030966016_API_2010.gz
55416.05381811087 0.04284940504399991 0.04284940504399991 -11.64588685 0.10783634999999947 0.11232309999999934 2.433429093 0.626513103 0.7541776499999999 1.135471471 0.5434959543 0.817795416 00030966007_API_2010.gz
55417.42468720631 0.07127064039309819 0.07127064039309819 -11.6600105 0.13448640000000012 0.13567324000000092 1.611875816 0.6076374849999999 0.7880492719999999 0.8263456043 0.5500335995000001 1.0564615747000001 00030966008_API_2010.gz
55583.841286884555 0.13731319525486066 0.13731319525486066 -10.5891514 0.04173806999999918 0.041728670000001244 1.263759577 0.16662911300000016 0.173207106 0.5953681834 0.1465906306 0.16799109200000006 00030966017_API_2010.gz
55520.31844633153 0.10842857129630391 0.10842857129630391 -11.11773734 0.08013694999999998 0.08016901000000054 1.088819894 0.3568760676 0.4074071829999999 0.8853366427 0.4302651678 0.6322815372999999 00030966011_API_2010.gz
55544.71572012094 0.1434386013213683 0.1434386013213683 -10.75688658 0.041979650000000035 0.042324340000000404 1.784076565 0.2042934449999998 0.214776466 1.019588623 0.21011553849999998 0.240426445 00030966014_API_2010.gz
55420.129017135456 0.10444619444509347 0.10444619444509347 -11.81893452 0.15909788999999996 0.1634149700000016 1.917436736 0.6591911719999999 0.7645018449999998 0.6263768865 0.3987142118 0.6006198785 00030966009_API_2010.gz
55525.626428898075 0.06883668437427669 0.06883668437427669 -10.78359474 0.04968075000000027 0.04956428999999929 1.254021829 0.20357621699999995 0.2134850129999999 0.7393899446 0.20024294109999996 0.23436563220000006 00030966012_API_2010.gz
55580.75621037523 0.07176188268733245 0.07176188268733245 -10.57072255 0.04850116000000071 0.04852748999999967 1.360382044 0.1953939520000001 0.20478621899999983 0.6324975532 0.1681509349 0.19673656299999998 00030966015_API_2010.gz
55423.28085186775 0.04428845381916121 0.04428845381916121 -11.68018844 0.15955166999999904 0.1585438400000001 1.232792825 0.5773449914 0.709862371 0.4313818861 0.37263991951 0.7692046309 00030966010_API_2010.gz
55414.315276020134 0.04534613569646522 0.04534613569646522 -11.67663806 0.1572526700000001 0.15521904000000042 1.17984468 0.5329460764 0.602866728 0.3493232036 0.30364864339000003 0.4906138528 00030966005_API_2010.gz
