# t dt_minus dt_plus flux dflux_minus dflux_plus
6.047423444913489948e+04 3.192164353094995022e-03 3.192164353094995022e-03 -1.095181069000000029e+01 7.504890999999958012e-02 6.563365999999959399e-02
6.050158168392874359e+04 6.915206088160630316e-02 6.915206088160630316e-02 -1.142576492999999971e+01 5.276249000000099443e-02 4.835845000000027483e-02
6.048425466474953282e+04 2.308753747201990336e-01 2.308753747201990336e-01 -1.116182494999999975e+01 5.388061000000021750e-02 4.953727000000007763e-02
6.052788646526406956e+04 3.589371898124227300e-02 3.589371898124227300e-02 -1.082677123999999935e+01 4.711052000000037765e-02 4.434627000000013197e-02
6.054462536666971573e+04 1.358718891206081025e-01 1.358718891206081025e-01 -1.126467981999999957e+01 4.593591999999979691e-02 4.328158999999942580e-02
6.051151598123533768e+04 6.934547696437221020e-02 6.934547697164816782e-02 -1.082092596999999934e+01 3.417794000000107246e-02 3.303083999999856246e-02
6.046242641377238033e+04 1.035671903955517337e-01 1.035671903955517337e-01 -1.195427787000000031e+01 1.019379699999998223e-01 9.858267999999981157e-02
6.055911780456133420e+04 6.981631694361567497e-02 6.981631695089163259e-02 -1.142387197999999948e+01 6.356359000000111337e-02 5.845103999999956557e-02
6.056226710838552390e+04 1.371779744658851996e-01 1.371779744731611572e-01 -1.154592657999999972e+01 6.344106000000060419e-02 5.625747999999930471e-02
