# tSw dt_minusSw dt_plusSw                tIn dt_minusIn dt_plusIn                 fluxSw dflux_minusSw dflux_plusSw                 fluxIn dflux_minusIn dflux_plusIn                 ind dind_minus dind_plus                 nh dnh_minus dnh_plus obs_IDSw                 
60500.47522994293 0.33114405516052137 0.33114405516052137 60501.196728636154 0.5537330436900447 0.5537330436900447 -11.060571602004833 0.11842343294659763 0.035007882606798546 -11.442728246387055 0.5801008726510215 0.2825115064444219 1.8459 0.4383931200000002 1.006086262 1.38544 0.6115910316000001 1.135071445 00016683002

60503.55407452974 0.3258997845573834 0.3258997845573834 60503.10425898792 0.5460073372005354 0.5460073372005354 -10.783338345985928 0.0631906172463843 0.037408049839632085 -11.031513400585862 0.15689169051137952 0.22152237148512555 1.64498 0.2602621180000002 1.0556987949999999 0.551681 0.26656605359999996 0.6355147099999999 00016683003

60506.32676642842 0.06919023518554039 0.06919023518554039 60506.53453901192 0.4618405945748236 0.4618405945748236 -10.523478304085426 0.0317013374508015 0.024738793934337977 -10.762678820402499 0.07627122251035345 0.11436887173031529 1.66455 0.171323122 0.262618767 0.873781 0.21292005580000006 0.30297458199999994 00097301021

60508.905378089854 0.03571801597252488 0.03571801597252488 60509.001936508954 0.5562503650144208 0.5562503650144208 -10.216390466182935 0.03972071159707902 0.02427065945296114 -10.36451913984555 0.04919574435761831 0.03598134045279622 1.57155 0.10168651499999992 0.11314887099999993 0.881903 0.3059283556 0.439493204 00097781003

60511.515981235345 0.06934547696745506 0.06934547696745506 60511.71059568736 0.508993391014883 0.508993391014883 -10.401915307981504 0.013794440744154812 0.019483141283650696 -10.40509184237375 0.05242810320247493 0.031189538802268046 1.41316 0.07986105799999987 0.09575819299999999 0.779626 0.16894327650000007 0.20994341049999998 00097301022

60513.509208034026 0.04230773907223785 0.04230773907223785 60513.7941967014 0.4807063235548412 0.4807063235548412 -10.379146746666654 0.022004446941551237 0.021473272895512707 -10.35190241279996 0.04874926332041696 0.05307888826525087 1.38362 0.08930453900000002 0.105744536 0.820251 0.21352459979999994 0.28049297799999995 00097301023

60515.60809344288 0.36774416863435394 0.36774416863435394 60516.47602709445 0.5186114360149077 0.5186114360149077 -10.50747044606272 0.017688684397070276 0.021004478347345312 -10.466585907729959 0.06913960409822018 0.046408812275714695 1.36047 0.08766845900000009 0.10784057000000002 0.687975 0.15514348330000005 0.19613801870000003 00097301024

60519.94594542319 0.04238822685140702 0.04238822685140702 60519.77810106921 0.5743984976152205 0.5743984976152205 -10.410913613432033 0.02378942488972058 0.017096837016682187 -10.336772608903358 0.053032808367603934 0.025228243150147378 1.34523 0.073054803 0.083294266 1.02564 0.24121567850000014 0.3135571389999998 00097781006

60524.311463484766 0.007429037036857119 0.007429037036857119 60524.507195871396 0.4805963677044929 0.4805963677044929 -10.238142527343646 0.03242872438493727 0.03260005576139946 -10.281145834657305 0.047233311045278725 0.034711445438059485 1.48277 0.09548130899999996 0.10322855600000014 1.2476 0.42694189400000004 0.6154748919999999 00016683010

