# tSw dt_minusSw dt_plusSw                tIn dt_minusIn dt_plusIn                 fluxSw dflux_minusSw dflux_plusSw                 fluxIn dflux_minusIn dflux_plusIn                 ind dind_minus dind_plus                 nh dnh_minus dnh_plus obs_IDSw                 
60500.47522994293 0.33114405516052137 0.33114405516052137 60501.196728636154 0.5537330436900447 0.5537330436900447 -11.3076 0.10976190999999957 0.05418211000000106 -11.4047 0.005472140000000181 0.010332110000000228 0.298013 0.02484812609999998 0.009255699900000025 1.11862 0.4084583356 0.286650764 00016683002

60503.55407452974 0.3258997845573834 0.3258997845573834 60503.10425898792 0.5460073372005354 0.5460073372005354 -11.0493 0.08050916000000008 0.0735905600000013 -10.8597 0.006204849999999595 0.006295469999999526 2.27445 0.02861334999999965 0.029838773000000263 1.01976 0.24976008230000002 0.29888736700000007 00016683003

60506.32676642842 0.06919023518554039 0.06919023518554039 60506.53453901192 0.4618405945748236 0.4618405945748236 -10.4089 0.036924250000000214 0.035814889999999266 -10.858 0.00725634999999869 0.007066330000000676 0.790993 0.01928361419999991 0.017907168800000095 0.280667 0.10579960129999999 0.1251407865 00097301021

60508.905378089854 0.03571801597252488 0.03571801597252488 60509.001936508954 0.5562503650144208 0.5562503650144208 -10.1403 0.06245531000000071 0.06068667999999988 -10.448 0.004014950000000184 0.003956760000001225 1.13988 0.01206253700000004 0.012071428999999911 0.499921 0.17393325269999999 0.22009034330000005 00097781003

60511.515981235345 0.06934547696745506 0.06934547696745506 60511.71059568736 0.508993391014883 0.508993391014883 -10.4012 0.03905416000000095 0.03821952000000017 -10.3938 0.00385610000000014 0.0038054700000014208 1.42026 0.012901456000000033 0.012954039000000028 0.749926 0.1348088409 0.15136291759999998 00097301022

60513.509208034026 0.04230773907223785 0.04230773907223785 60513.7941967014 0.4807063235548412 0.4807063235548412 -10.3842 0.05282648999999928 0.051532180000000594 -10.3451 0.0042264499999991045 0.00427129000000015 1.4282 0.014801127999999997 0.014870915000000151 0.865724 0.2103548032 0.24648672799999993 00097301023

60515.60809344288 0.36774416863435394 0.36774416863435394 60516.47602709445 0.5186114360149077 0.5186114360149077 -10.6069 0.03642246000000071 0.03535409999999928 -10.375 0.0037585700000004607 0.0036841299999998967 2.24479 0.01792563600000019 0.016861227000000145 1.54054 0.19133624699999996 0.20049339599999993 00097301024

60519.94594542319 0.04238822685140702 0.04238822685140702 60519.77810106921 0.5743984976152205 0.5743984976152205 -10.4234 0.042000699999999114 0.04104457000000039 -10.3257 0.0034719100000000225 0.0035519599999993545 1.51544 0.012543933999999979 0.012585593000000062 1.19703 0.2037934831 0.22965889299999986 00097781006

60524.311463484766 0.007429037036857119 0.007429037036857119 60524.507195871396 0.4805963677044929 0.4805963677044929 -10.2299 0.07162544999999909 0.06899170000000154 -10.2881 0.003554530000000611 0.00350305000000084 1.47562 0.012354450999999989 0.012362780000000129 1.23794 0.3491681710000001 0.44068013000000006 00016683010

