x, y
0.20066200209156557, 68.21789356023973
0.24362904092070864, 68.4846468077877
0.28453794272391936, 68.75244314375958
0.2937168268472305, 74.33381811652175
0.3242103093010599, 74.91629156215133
0.3668168790982924, 75.20923763576187
0.3978203072768506, 75.50332921991826
0.4106535570973755, 78.20244634886373
0.4516910763741951, 78.50824231295832
0.5238277479615914, 79.12342618981323
0.5464788444717952, 117.3522782809678
0.6292977817883719, 122.97887291466682
0.7094905589546269, 126.38482029342984
0.737563478140014, 140.42926640397522
0.8199012316919382, 144.31850916961756
0.858377774326389, 149.47765333118153
0.8860681064105443, 169.36105849167362
1.027576334798151, 177.48127598404577
1.1916839306119464, 183.82593332597997
1.2878540524426734, 188.18121627398352
1.3340968557514121, 200.30644131347802
1.536279401312736, 207.46705995603565
1.8197411828170709, 214.88365868095093
1.8718290934901878, 232.32807548675996
2.1707668579214117, 237.83249201386462
2.4387738582328615, 242.51899659922748
2.5174460466706607, 261.18555388887745
2.838249640281008, 267.3736741858101
3.397709318476778, 281.2888660964263
4.110721595646555, 293.62742069512564
5.115716597564697, 301.75954550768114
6.255103988900061, 307.7057368027558
6.977964255051013, 311.3295464630782
7.279701882354985, 643.3903996234843
8.120968030690287, 658.6338812459618
8.472130853460289, 684.8464680778766
9.964784908658451, 712.1022744100103
