x, y
0.20137113237357418, 71.21022744100107
0.24709123510058822, 72.33059437193278
0.282537465357879, 72.89737072751043
0.2937168268472305, 81.63274619477565
0.34303620512017863, 83.2413247204351
0.39224612674417764, 85.21351392989361
0.4077664091184701, 88.95134973108236
0.47455932008299795, 89.64836490511858
0.5294009465417029, 91.05882330500232
0.5562034903563103, 159.109061932438
0.6382406857594463, 168.70138344819108
0.7069920814706717, 174.7321743874295
0.737563478140014, 197.20378862758622
0.8227987249173053, 203.45790874961529
0.8553549891535435, 209.09275410614387
0.8829478094803366, 237.83249201386462
1.0532672778922851, 255.14065200312874
1.2833188626335386, 271.580325863867
1.3293988214880368, 291.34447032615634
1.6369955114514056, 307.7057368027558
1.78792488013075, 312.54694212340155
1.8984295175148431, 347.27855526710516
2.4387738582328615, 366.78095727931
2.5622442517336714, 398.1071705534973
3.110888474887353, 410.73273968383756
3.373821324759918, 428.74926626873656
4.154457094289461, 447.55607616641515
5.2436171530203355, 461.7498676811142
7.002624059640088, 478.2566494352836
7.203065781759763, 954.2474695015034
8.0638726128342, 980.6757216915776
8.472130853460289, 1019.7050644580961
9.85988195095345, 1056.157806799227
